attribute,n,mean,std,min,5%,25%,50%,75%,95%,max,specificity,season,activity,season_order
contact_%,31.0,71.19354838709677,31.366031897408497,0.0,12.5,50.0,80.0,100.0,100.0,100.0,"by grower, season, activity",Spring,Weeding,1.0
contact_%,29.0,32.310344827586206,27.88510028194251,0.0,0.8000000000000003,10.0,25.0,50.0,85.99999999999997,100.0,"by grower, season, activity",Summer,Harvesting,2.0
contact_%,21.0,46.19047619047619,37.812192541056184,0.0,0.0,10.0,50.0,75.0,100.0,100.0,"by grower, season, activity",Summer,Preparing beds,2.0
contact_%,21.0,51.666666666666664,41.21811899314831,0.0,0.0,6.0,50.0,99.0,100.0,100.0,"by grower, season, activity",Summer,Seeding,2.0
contact_%,20.0,83.25,24.988155088698367,10.0,48.0,75.0,97.5,100.0,100.0,100.0,"by grower, season, activity",Summer,Transplanting,2.0
contact_%,27.0,4.2592592592592595,10.62505237124683,0.0,0.0,0.0,0.0,5.0,20.49999999999999,50.0,"by grower, season, activity",Summer,Watering,2.0
contact_%,27.0,80.74074074074075,29.24379302004838,10.0,10.0,75.0,95.0,100.0,100.0,100.0,"by grower, season, activity",Summer,Weeding,2.0
contact_%,29.0,35.275862068965516,31.875759432660846,0.0,0.0,10.0,30.0,50.0,97.99999999999999,100.0,"by grower, season, activity",Fall,Harvesting,3.0
contact_%,21.0,36.76190476190476,33.07099146065138,0.0,2.0,10.0,25.0,60.0,90.0,100.0,"by grower, season, activity",Fall,Preparing beds,3.0
contact_%,18.0,48.05555555555556,39.70993685423486,0.0,0.0,1.25,50.0,80.0,100.0,100.0,"by grower, season, activity",Fall,Seeding,3.0
contact_%,12.0,93.75,7.723929758166558,80.0,80.0,90.0,97.5,100.0,100.0,100.0,"by grower, season, activity",Fall,Transplanting,3.0
contact_%,19.0,10.526315789473685,24.82688601105358,0.0,0.0,0.0,0.0,10.0,54.99999999999989,100.0,"by grower, season, activity",Fall,Watering,3.0
contact_%,21.0,62.142857142857146,35.23391223563701,0.0,0.0,50.0,70.0,95.0,100.0,100.0,"by grower, season, activity",Fall,Weeding,3.0
contact_%,18.0,48.333333333333336,31.48295523911685,0.0,0.0,25.0,50.0,75.0,100.0,100.0,"by grower, season, activity",Winter,Harvesting,4.0
contact_%,14.0,41.07142857142857,26.9742449404963,0.0,0.0,25.0,40.0,50.0,83.5,90.0,"by grower, season, activity",Winter,Preparing beds,4.0
contact_%,9.0,57.22222222222222,45.35354941395926,0.0,0.0,0.0,85.0,90.0,100.0,100.0,"by grower, season, activity",Winter,Seeding,4.0
contact_%,4.0,92.5,9.574271077563381,80.0,81.5,87.5,95.0,100.0,100.0,100.0,"by grower, season, activity",Winter,Transplanting,4.0
contact_%,13.0,5.461538461538462,13.733264874113662,0.0,0.0,0.0,0.0,5.0,25.999999999999943,50.0,"by grower, season, activity",Winter,Watering,4.0
contact_%,15.0,73.73333333333333,30.620876787546354,10.0,17.0,50.0,80.0,100.0,100.0,100.0,"by grower, season, activity",Winter,Weeding,4.0
days_per_month_by_activity,32.0,7.765625,6.457034642230731,0.0,0.0,2.0,8.0,9.25,20.0,24.0,"by grower, season, activity",Spring,Harvesting,1.0
days_per_month_by_activity,32.0,7.125,6.343653165477363,0.0,0.55,4.0,5.0,10.0,18.599999999999994,30.0,"by grower, season, activity",Spring,Preparing beds,1.0
days_per_month_by_activity,32.0,7.40625,7.864207914916305,1.0,1.0,2.0,4.0,8.5,22.45,30.0,"by grower, season, activity",Spring,Seeding,1.0
days_per_month_by_activity,32.0,7.3125,6.8929019124163915,0.0,0.55,3.5,5.5,7.25,23.0,25.0,"by grower, season, activity",Spring,Transplanting,1.0
days_per_month_by_activity,32.0,19.0625,10.191512914374929,0.0,4.0,10.0,20.0,29.25,30.0,30.0,"by grower, season, activity",Spring,Watering,1.0
days_per_month_by_activity,32.0,11.328125,8.009681012334688,0.0,1.55,4.75,9.5,16.5,24.499999999999993,30.0,"by grower, season, activity",Spring,Weeding,1.0
days_per_month_by_activity,31.0,12.5,7.358668357794092,0.0,1.5,8.0,12.0,16.5,24.5,30.0,"by grower, season, activity",Summer,Harvesting,2.0
days_per_month_by_activity,31.0,2.967741935483871,3.227319537611586,0.0,0.0,0.0,2.5,5.0,7.5,15.0,"by grower, season, activity",Summer,Preparing beds,2.0
days_per_month_by_activity,31.0,2.2903225806451615,5.342867821604779,0.0,0.0,0.0,1.0,2.0,5.0,30.0,"by grower, season, activity",Summer,Seeding,2.0
days_per_month_by_activity,31.0,2.064516129032258,3.7052708751270163,0.0,0.0,0.0,1.0,2.0,5.0,20.0,"by grower, season, activity",Summer,Transplanting,2.0
days_per_month_by_activity,31.0,13.32258064516129,9.957868234966067,0.0,0.0,6.5,10.0,20.0,30.0,30.0,"by grower, season, activity",Summer,Watering,2.0
days_per_month_by_activity,31.0,11.0,9.902861539306034,0.0,0.0,4.0,8.0,13.5,30.0,30.0,"by grower, season, activity",Summer,Weeding,2.0
days_per_month_by_activity,29.0,7.620689655172414,5.9531731820904215,1.0,1.0,4.0,6.0,10.0,19.199999999999996,25.0,"by grower, season, activity",Fall,Harvesting,3.0
days_per_month_by_activity,29.0,4.155172413793103,4.340637396158092,0.0,0.0,0.0,4.0,5.0,10.0,20.0,"by grower, season, activity",Fall,Preparing beds,3.0
days_per_month_by_activity,29.0,1.7241379310344827,1.980197532068418,0.0,0.0,0.0,1.0,3.0,5.0,8.0,"by grower, season, activity",Fall,Seeding,3.0
